FID,profile_id,file_id,sattag_program,device_id,device_wmo_ref,tag_type,common_name,release_site,state_country,age_class,sex,timestamp,min_pressure,max_pressure,nb_measurements,geom,colour,size
aatams_sattag_dm_profile_map.5679805,5679805,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2014-01-01T06:02:00,4,9,6,"LINESTRING (124.135559074733 -33.0341729537367, 124.135751245552 -33.0314825622776)",#53902C,39833600
aatams_sattag_dm_profile_map.5679602,5679602,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2013-11-27T06:20:00,4,14,11,"LINESTRING (124.09371152843 -33.5188654147105, 124.083793306623 -33.4338960641056)",#53902C,39833600
aatams_sattag_dm_profile_map.5679720,5679720,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2013-12-17T06:04:00,,,11,"LINESTRING (124.192951827243 -33.1462292358804, 124.192877076412 -33.1450332225914)",#53902C,39833600
aatams_sattag_dm_profile_map.5679764,5679764,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2013-12-25T18:10:00,4,11,8,"LINESTRING (124.01660773585 -33.6042396698102, 124.018170000004 -33.6025924999956)",#53902C,39833600
aatams_sattag_dm_profile_map.5679869,5679869,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2014-01-11T06:02:00,4,8,5,"LINESTRING (124.085828878862 -33.436444290177, 124.085079139188 -33.4387559875043)",#53902C,39833600
aatams_sattag_dm_profile_map.5679947,5679947,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2014-01-24T00:18:00,4,14,11,"LINESTRING (124.1742890625 -33.2431328125, 124.192540673928 -33.1731463580667)",#53902C,39833600
aatams_sattag_dm_profile_map.5679823,5679823,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2014-01-02T18:16:00,4,10,7,"LINESTRING (124.137981828506 -33.2950363429872, 124.137621940928 -33.2967282700435)",#53902C,39833600
aatams_sattag_dm_profile_map.5679799,5679799,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2013-12-31T18:04:00,4,15,13,"LINESTRING (124.131978142073 -33.3210218579274, 124.132620569437 -33.3182074375344)",#53902C,39833600
aatams_sattag_dm_profile_map.5679659,5679659,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2013-12-06T22:44:00,4,14,11,"LINESTRING (124.184807594935 -33.2617308016884, 124.184057820075 -33.2618554498123)",#53902C,39833600
aatams_sattag_dm_profile_map.5679810,5679810,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2014-01-01T14:22:00,4,14,11,"LINESTRING (124.3111834727 -32.9888165272996, 124.238227058208 -33.0777060828446)",#53902C,39833600
aatams_sattag_dm_profile_map.5679834,5679834,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2014-01-05T18:02:00,4,12,9,"LINESTRING (124.139092547482 -33.2649629810071, 124.143768631269 -33.2630925474924)",#53902C,39833600
aatams_sattag_dm_profile_map.5679957,5679957,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2014-01-27T17:42:00,4,11,8,"LINESTRING (124.001840824778 -33.6336448969028, 124.003497282373 -33.6334378397033)",#53902C,39833600
aatams_sattag_dm_profile_map.5679733,5679733,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2013-12-19T00:04:00,4,6,3,"LINESTRING (123.989965793589 -33.5351026192338, 123.989520132916 -33.5364396012523)",#53902C,39833600
aatams_sattag_dm_profile_map.5679671,5679671,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2013-12-08T04:56:00,4,7,4,"LINESTRING (124.091814501117 -33.3631418466137, 124.09362946761 -33.3738864482502)",#53902C,39833600
aatams_sattag_dm_profile_map.5679849,5679849,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2014-01-07T06:04:00,,,11,"LINESTRING (124.120742820655 -33.3743164805667, 124.119799764237 -33.375660335963)",#53902C,39833600
aatams_sattag_dm_profile_map.5679979,5679979,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2014-01-29T06:18:00,4,16,13,"LINESTRING (124.199293670886 -33.1592936708861, 124.185263558515 -33.2940171265448)",#53902C,39833600
aatams_sattag_dm_profile_map.5679896,5679896,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2014-01-15T05:38:00,4,14,11,"LINESTRING (124.186677060822 -33.2762178141384, 124.184268910159 -33.2875361222548)",#53902C,39833600
aatams_sattag_dm_profile_map.5679758,5679758,23,ct106,ct106-705-13,Q9900637,SMRU CTD tag,Australian Sea Lion,Six Mile Island,Western Australia,adult,male,2013-12-22T18:04:00,4,10,7,"LINESTRING (124.0911237911 -33.4273191489514, 124.08957165479 -33.4304671417261)",#53902C,39833600
